original_query,enhanced_query,top_similarity,weighted_top5_similarity,num_results,response_time
Couch and matching chair,What are the considerations for selecting complementary furniture pieces for a living space?,0.8693131,0.8615847587585449,5,0.04533886909484863
end table,What are the different types and functions of tables used in interior design and home furnishing?,0.9066488,0.8947641491889954,5,0.04194211959838867
washer and dryer,What are the key considerations when choosing home laundry appliances?,0.8882632,0.8837359577417374,5,0.05276894569396973
lamps,What are the different types and uses of lighting fixtures?,0.88323987,0.872551953792572,5,0.04733109474182129
Metal Desk,What are the different types and features of desks made from metal materials?,0.8669443,0.8606765002012253,5,0.043929100036621094
file cabinet,What are the different types and uses of storage solutions for organizing documents and office supplies?,0.90492356,0.8892562329769135,5,0.04167604446411133
dining table,"What are the different types and features of dining tables, and how do they vary in terms of materials, styles, and sizes?",0.9221388,0.9070648610591888,5,0.04118800163269043
Office desk and chair,What are the essential considerations when selecting office furniture for a workspace?,0.88781786,0.8829803228378296,5,0.04596090316772461
Clothes,"What are the different aspects to consider when learning about clothing, including types, materials, styles, and cultural significance?",0.8427671,0.8403143286705017,5,0.04104208946228027
"one twin bed headboard 
red and blue with Hockey spelled out","What are the options for twin bed headboards with sports-themed designs, particularly in red and blue colors?",0.83067495,0.8260188788175583,5,0.04464411735534668
floor lamp,What are the different types and features of lighting options for home interiors?,0.9110687,0.8898796170949936,5,0.04050803184509277
shoes,"What are the different types and purposes of footwear, and how do they vary in terms of style, function, and material?",0.8458389,0.8440765172243119,5,0.04298806190490723
ottoman and large tv stand,What are some essential furniture pieces for a living room setup?,0.874647,0.8714040458202362,5,0.04013991355895996
chair,"What are the different types and uses of chairs, and how do they vary in design, material, and functionality?",0.89227486,0.8875998049974442,5,0.03825998306274414
Dewalt Jobsite Table Saw,"What are the features, benefits, and considerations of using jobsite table saws, and how does the Dewalt brand compare to others in this category?",0.8343112,0.8312802731990815,5,0.08700895309448242
matte finish,What are the characteristics and applications of a matte finish across different materials and products?,0.816769,0.8145942568778992,5,0.04528999328613281
one reclining loveseat,What are the features and options available for reclining loveseats?,0.90211654,0.8824579656124115,5,0.056029319763183594
one recliner,What are the general features and considerations when choosing a recliner?,0.89340687,0.88712437748909,5,0.044259071350097656
Large wall unit,What are the different types and features of wall units available for home or office spaces?,0.85572624,0.8490626752376557,5,0.03872990608215332
bed frames,"What are the different types and features of bed frames, and how do they impact bedroom design and functionality?",0.8891263,0.8810477912425996,5,0.04888296127319336
love seat and couch chair,What are the differences and similarities between various types of seating furniture?,0.87057185,0.8656908363103867,5,0.04203295707702637
plastic file,What are the different types and uses of plastic materials for organizing and storing documents?,0.8664435,0.8516018986701965,5,0.0410161018371582
decor items miscellaneous,What are some general categories and types of decorative items available for enhancing interior spaces?,0.83688706,0.8356880962848664,5,0.04060006141662598
flush mount lamp,What are the different types and features of ceiling-mounted lighting fixtures?,0.87226516,0.8663087517023087,5,0.0378260612487793
filing cabinet,What are the different types and uses of storage solutions for organizing documents and files?,0.91904175,0.8965736597776413,5,0.03743100166320801
Sectional,"What are the different types and features of sectional furniture, and how do they compare to other seating options?",0.85106933,0.8476040333509446,5,0.04260420799255371
large dresser/mirror,"What are the considerations and options available when selecting a large piece of furniture with a mirror, such as a dresser?",0.91521513,0.8844496071338653,5,0.04529714584350586
bench at end bed,"What are the benefits and considerations of placing furniture, such as a bench, at the foot of a bed in a bedroom?",0.86746144,0.8657908499240875,5,0.07511091232299805
Clothing,"What are the different types and purposes of clothing, and how do they vary across cultures and climates?",0.840889,0.8394521206617356,5,0.04222893714904785
small rug,What are the different types and uses of rugs that are suitable for smaller spaces?,0.84790564,0.8406549036502838,5,0.04317188262939453
recliner,What are the different types and features of seating furniture designed for relaxation and comfort?,0.8973915,0.8928278475999832,5,0.04177403450012207
Wood Entertainment Table,What are the different types and features of entertainment tables made from wood?,0.8425451,0.83958680331707,5,0.0448758602142334
ottoman,"What are the different meanings and uses of the term 'ottoman' in various contexts, such as historical, cultural, and furniture-related?",0.8761091,0.8488630086183548,5,0.0787968635559082
lg heavy antique bar that is also used for storage,"What are the characteristics and uses of large antique bars that serve dual purposes, such as storage?",0.8385251,0.8370506525039674,5,0.05417180061340332
Chairs,"What are the different types, uses, and features of chairs, and how do they vary in design, materials, and ergonomics?",0.8847039,0.8791804224252701,5,0.03862500190734863
fully functioning,What are the characteristics and requirements of a system or entity that is operating at full capacity and effectiveness?,0.80920726,0.8075889021158219,5,0.04343605041503906
sofa table,What are the different types and uses of tables designed to be placed near or around seating areas?,0.89076436,0.8883041888475418,5,0.03796505928039551
white,What are the various meanings and uses of the term 'white' across different contexts?,0.85212314,0.8313052833080292,5,0.04231595993041992
Cabinet/TV stand,What are the different types and features of furniture used for supporting and housing televisions and related equipment?,0.9018185,0.8915910422801971,5,0.04195809364318848
Refrigerator,"What are the key factors to consider when choosing a refrigerator, and what are the different types and features available?",0.9089386,0.8865368217229843,5,0.044545888900756836
Queen bed frame,What are the different types and features of bed frames available for queen-sized mattresses?,0.8725872,0.8636876970529557,5,0.04683399200439453
clothes,"What are the different types and purposes of clothing, and how do they vary across cultures and climates?",0.8458876,0.8441558092832565,5,0.03810381889343262
easy chair and a hallway table,What are some essential furniture pieces for home comfort and functionality?,0.86188656,0.8610332578420639,5,0.04769396781921387
dishes,What are the different types of meals or food items that can be prepared or served?,0.842096,0.8409547299146652,5,0.042836904525756836
one mailer style desk,What are the different styles and designs available for office desks?,0.85981685,0.8554876387119293,5,0.04664492607116699
stuff,What are the different contexts and meanings associated with the term 'stuff'?,0.82427573,0.8219885975122452,5,0.04459023475646973
both wood,What are the different types and uses of wood?,0.8460896,0.8398661583662033,5,0.05243325233459473
Extra large sofa,What are the considerations and options available when choosing a large-sized sofa for a living space?,0.8590161,0.8550684124231339,5,0.04326200485229492
desk speaker set with subwoofer,What are the options for audio systems suitable for desk use that include a subwoofer?,0.829829,0.8290627598762512,5,0.045126914978027344
China cabinet,What are the different types and uses of display cabinets for showcasing fine china and other collectibles?,0.92673177,0.898989799618721,5,0.04268383979797363
a small storage ottoman,What are the different types and uses of compact furniture pieces that offer both storage and seating options?,0.9125584,0.8936549186706543,5,0.04241800308227539
Two bedroom sets,"What are the different types and features of bedroom furniture sets available, specifically those that include two bedrooms?",0.8295073,0.8284960448741913,5,0.037055015563964844
loveseat,What are the different types and uses of small seating furniture for two people?,0.9057832,0.8855614811182022,5,0.04103398323059082
Large couches side tables bunk beds and bed frames,"What are the different types and features of common household furniture, including seating, tables, and beds?",0.85981,0.85867078602314,5,0.04366779327392578
kitchen items,"What are the essential tools and equipment commonly found in a kitchen, and what purposes do they serve?",0.8788098,0.8777667820453644,5,0.041329145431518555
miscellaneous items,"What are the various categories and types of miscellaneous items, and how are they typically classified or organized?",0.84120965,0.8391100943088532,5,0.03864717483520508
"Large Sofa
Dresser w/Mirror
Flat Screen TV
Pub Table
Nightstand",What are some common types of furniture and home entertainment items that people typically purchase or inquire about?,0.86381906,0.8597766280174255,5,0.0448458194732666
Treadmill in good working condition,What are the key factors to consider when evaluating the condition and functionality of exercise equipment?,0.8623507,0.8553959369659424,5,0.0466761589050293
Large sectional couch,What are the considerations and options when choosing a large piece of sectional furniture for a living space?,0.85106504,0.8461775571107865,5,0.043508052825927734
crib,"What are the different types and features of baby beds, and how do they contribute to infant safety and comfort?",0.90464437,0.8892428129911423,5,0.04214787483215332
Sofa and Love Seat,"What are the differences and similarities between various types of seating furniture, such as sofas and love seats, and how do they impact room design and functionality?",0.8671404,0.8648699522018433,5,0.07829809188842773
clothing,"What are the different aspects and considerations involved in choosing, purchasing, and maintaining clothing?",0.8415412,0.8392620295286178,5,0.04107189178466797
love seat,What are the different types and uses of small seating furniture?,0.8716098,0.8677368849515915,5,0.0429379940032959
Large Leather sofa,What are the options and considerations for purchasing a large sofa made from leather?,0.85044515,0.8473348289728164,5,0.04444003105163574
in good condition,What factors determine the condition or quality of an item or entity?,0.8261479,0.823961466550827,5,0.04106402397155762
nightstand,"What are the different types and uses of bedroom furniture, particularly small storage units or tables placed beside a bed?",0.923878,0.9011863619089127,5,0.04099106788635254
Sofas,"What are the different types, styles, and materials of sofas available, and what factors should be considered when choosing a sofa for a living space?",0.8746997,0.8638257890939712,5,0.04209589958190918
so many fake flowers,"What are the reasons for the prevalence of artificial flowers, and what are their advantages and disadvantages compared to real flowers?",0.84232783,0.8310249447822571,5,0.04566502571105957
Sectional couch,"What are the different types and features of sectional couches, and how do they compare to other types of seating furniture?",0.86019456,0.8590954303741455,5,0.0405881404876709
MATTRESS AND BOTTOM,What are the components and considerations involved in setting up a complete bed system?,0.86824656,0.8657311618328094,5,0.042582035064697266
one lazy boy couch good condition,What are the general characteristics and considerations for evaluating the condition and quality of a used couch?,0.84150636,0.8374054610729218,5,0.04831218719482422
mattress,"What are the different types of mattresses available, and what factors should be considered when choosing a mattress?",0.9056872,0.8892341911792755,5,0.044595956802368164
Entertainment center,"What are the different types and purposes of entertainment centers, and how can they be utilized in various settings?",0.9045931,0.868859824538231,5,0.03851795196533203
and small side table,What are some options for small furniture pieces that can be used as side tables?,0.8642349,0.8589971691370011,5,0.044956207275390625
refridgerator,"What are the key features, types, and considerations when choosing a refrigerator?",0.87089825,0.8646346539258957,5,0.0452578067779541
"Dishwasher 
Chandelier light",What are the considerations for installing or using appliances and lighting fixtures in a home?,0.8688538,0.8636373072862625,5,0.045300960540771484
Sofa and loveseat,"What are the different types of seating furniture available for living rooms, and how do they compare in terms of size, style, and functionality?",0.8755168,0.8718246966600418,5,0.046263933181762695
Recliner sofa and recliner,"What are the differences and similarities between recliner sofas and individual recliners, and what factors should be considered when choosing between them?",0.8963008,0.8835944265127182,5,0.04180598258972168
one smaller wardrobe,What are the options for compact storage solutions or small wardrobes?,0.85341835,0.8471449106931687,5,0.04106283187866211
Electric fireplace,"What are the features, benefits, and considerations of using electric fireplaces compared to other types of fireplaces?",0.91880655,0.891954654455185,5,0.04440903663635254
dresser,What are the different types and uses of furniture designed for storing clothes and other personal items?,0.91832644,0.8967730522155761,5,0.04349398612976074
a wheelbarrow and some yard equipment,What are the essential tools and equipment needed for gardening or yard maintenance?,0.8551043,0.8480956614017486,5,0.048891305923461914
side table,What are the different types and uses of small tables in home or office settings?,0.89330876,0.888822078704834,5,0.04079484939575195
recliner chair,What are the different types and features of chairs designed for comfort and relaxation?,0.9167585,0.9048923194408417,5,0.04390311241149902
one women's hybrid mountain bike and a outside dog house,What are the options for outdoor equipment and accessories for women and pets?,0.8336501,0.8298407584428787,5,0.04136013984680176
magazine rack,What are the different types and uses of furniture or storage solutions for organizing and displaying reading materials?,0.9369915,0.9057862251996994,5,0.04486799240112305
Whit Ash tv cabinet with storage below,What are the features and design options available for TV cabinets with storage?,0.864004,0.8592874646186829,5,0.0466160774230957
Clothes,"What are the different types, uses, and considerations for selecting clothing?",0.8465175,0.8449990868568421,5,0.03838682174682617
mirrors,"What are the various types, uses, and historical significance of mirrors, and how do they function in different contexts?",0.8806095,0.8685467660427093,5,0.042136192321777344
one ottoman,What are the various types and uses of ottomans in home decor?,0.89062,0.8624415934085846,5,0.040422916412353516
Mattress,"What are the important factors to consider when choosing a mattress, and how do different types of mattresses compare in terms of comfort, support, and durability?",0.90268755,0.8865791022777557,5,0.07583308219909668
night stand,What are the different types and uses of bedside furniture?,0.88119584,0.8750096768140793,5,0.05351686477661133
and rug pad,What are the considerations and benefits of using a rug pad with area rugs?,0.8493804,0.8436869412660599,5,0.04292416572570801
sectional,"What are the different types and uses of sectional furniture, and how do they compare to other seating options?",0.85406256,0.8505555093288422,5,0.04580092430114746
NIGHTSTAND,"What are the common features, uses, and variations of bedside furniture?",0.9146632,0.8931687027215958,5,0.054872989654541016
Treadmill,"What are the different uses, benefits, and considerations of using a treadmill for exercise and fitness?",0.91922444,0.8929646700620651,5,0.0436708927154541
the other is heavier,How can differences in weight between two objects be determined or explained?,0.8300823,0.8243116199970245,5,0.04420185089111328
dresser with mirror,"What are the different types and styles of dressers available, and how do they incorporate mirrors in their design?",0.9458355,0.9024867683649064,5,0.043344974517822266
Dining room table with four chairs,What are the options for purchasing a dining set that includes a table and chairs?,0.86589414,0.862463653087616,5,0.04752516746520996
ladder,"What are the different types and uses of ladders, and what safety considerations should be taken into account when using them?",0.9008518,0.8783563673496246,5,0.04366493225097656
clothing,"What are the different types and purposes of clothing, and how do cultural, functional, and seasonal factors influence clothing choices?",0.8430486,0.8417278349399566,5,0.03773188591003418
kitchen appliances,"What are the different types and uses of kitchen appliances, and how can they enhance cooking and food preparation?",0.8855355,0.8788939446210862,5,0.04296422004699707
Clothes,"What are the different types, uses, and cultural significance of clothing?",0.84780717,0.8459861934185029,5,0.03896808624267578
one refrigerator,What are the general considerations and features to look for when choosing a refrigerator?,0.87988585,0.8709936708211898,5,0.04245305061340332
cds,What are the different types and uses of compact discs (CDs) in various contexts?,0.8682746,0.8441584169864654,5,0.04232597351074219
night stand,What are the different types and uses of bedside furniture?,0.88119584,0.8750096768140793,5,0.04844188690185547
accent chair,What are the different types and uses of accent chairs in home decor?,0.8645314,0.8616040349006653,5,0.04079914093017578
one dresser,What are the different types and features of dressers available?,0.88851374,0.8744071424007416,5,0.04217123985290527
one nightstand,What are the different types and uses of bedside furniture?,0.899619,0.8846119433641434,5,0.04431796073913574
coffee table,What are the different types and uses of tables typically found in living room settings?,0.91132456,0.89859419465065,5,0.04050087928771973
computer chair,What are the key factors to consider when choosing a chair for computer use?,0.8843956,0.8777803778648376,5,0.03965115547180176
tea table,What are the various types and uses of small tables typically used for serving tea or similar purposes?,0.8768709,0.8744685769081115,5,0.040453195571899414
Portable air conditioner,"What are the features, benefits, and considerations of using portable cooling devices for indoor climate control?",0.8765507,0.8695198625326157,5,0.04060220718383789
a small sage green nightstand,What are the options for compact bedside tables in muted green tones?,0.86823815,0.857151147723198,5,0.04595136642456055
My wife died and I am disbursing her belongings,How can I effectively manage and distribute the personal belongings of a deceased loved one?,0.79646415,0.7936713308095932,5,0.03697323799133301
Lazyboy couch and loveseat,What are the options and features available for purchasing a couch and loveseat set from Lazyboy?,0.8355714,0.8321489632129669,5,0.04838705062866211
Miscellaneous clothing and shoes,What are the various categories and types of apparel and footwear?,0.8278235,0.8254973113536834,5,0.03742098808288574
Lazyboy recliner,"What are the features, benefits, and options available for recliner chairs?",0.8885571,0.8853217482566834,5,0.0391850471496582
small white shelving wall unit,What are the options for compact and light-colored shelving units suitable for wall installation?,0.876688,0.867820656299591,5,0.04647707939147949
Queen mattress and queen bed frame,What are the considerations and options when selecting a mattress and bed frame of the same size?,0.87975276,0.8712420850992203,5,0.038681983947753906
tall bookshelf,"What are the different types and features of bookshelves available, particularly those designed to accommodate more vertical storage space?",0.88522774,0.8697065770626068,5,0.0440828800201416
appliances,What are the different types of appliances and their uses?,0.868841,0.8630679249763489,5,0.05357813835144043
kitchen wear,What are the different types of kitchen-related products and their uses?,0.8767004,0.8741358518600464,5,0.04409599304199219
console/buffet,What are the differences and uses of furniture pieces like consoles and buffets?,0.8447896,0.8415224134922028,5,0.04334878921508789
large dresser with mirror,What are the options for bedroom furniture that include storage and reflective surfaces?,0.91379,0.8882804870605469,5,0.04134202003479004
tv console,What are the different types and features of furniture designed for housing televisions and entertainment systems?,0.9258734,0.9036322057247163,5,0.04068613052368164
tv armoire,What are the different types of furniture pieces available for storing and organizing televisions and related accessories?,0.90069723,0.8861920297145844,5,0.039080142974853516
table and bench,What are the different types and uses of furniture for seating and dining purposes?,0.8797937,0.8742799878120423,5,0.03731203079223633
Table,"What are the different types and uses of tables, and how do they vary in design and functionality across various contexts?",0.8745012,0.8729600697755814,5,0.043192148208618164
chair,"What are the different types and uses of chairs, and how do they vary in design and functionality?",0.8935898,0.8893395721912384,5,0.04128003120422363
framed pics,What are the different types and uses of framed pictures?,0.8904424,0.8521278023719788,5,0.05048990249633789
Large Thomasville sectional sofa,"What are the features and options available for large sectional sofas, particularly those from popular brands like Thomasville?",0.8348717,0.8310055255889892,5,0.044268131256103516
single,"What are the various meanings and contexts in which the term 'single' is used, and how can it be applied in different scenarios?",0.834612,0.8274798542261124,5,0.041284799575805664
bulletin board,"What are the various uses and functions of bulletin boards, and how do they facilitate communication and information sharing in different settings?",0.8266746,0.8257625281810761,5,0.04417729377746582
electric range,What are the different types and features of kitchen cooking appliances that use electricity?,0.87728953,0.8706918805837631,5,0.041964054107666016
"Foldable bookcases
Sewing mannequin
Pillows and comforter
Possible other home items",What are some versatile and essential home furnishings and accessories that can enhance both functionality and comfort in a living space?,0.8369441,0.8355454951524734,5,0.04182887077331543
silver,"What are the various aspects and uses of silver, including its properties, applications, and significance in different contexts?",0.81414765,0.8082024455070496,5,0.04062819480895996
Christmas tree,"What are the cultural, historical, and traditional aspects associated with Christmas trees?",0.8729543,0.8433594286441803,5,0.03630685806274414
Queen Bed,"What are the different types and sizes of beds available, and what factors should be considered when choosing a bed?",0.88068205,0.8759878128767014,5,0.036187171936035156
recliner,What are the different types and features of seating furniture designed for comfort and relaxation?,0.8969997,0.8925535321235657,5,0.04150199890136719
Queen mattress,"What are the different types and features of mattresses available, and how do they compare in terms of size, comfort, and price?",0.8874372,0.8781256735324859,5,0.03810405731201172
wood dining table,What are the different types and features of dining tables made from wood?,0.8793342,0.8758067965507508,5,0.04402494430541992
Oak desk,"What are the characteristics, uses, and benefits of furniture made from oak wood?",0.842116,0.8395831555128097,5,0.039708852767944336
Kitchen and Bathroom idems,What are common items and essentials typically found in kitchens and bathrooms?,0.8685589,0.8649385720491409,5,0.04284191131591797
a brand new pedestal sink,What should I consider when choosing a new bathroom sink?,0.86882293,0.8553645670413971,5,0.05197787284851074
dining table and grandmother clock,What are the characteristics and historical significance of traditional furniture pieces like dining tables and grandmother clocks?,0.86910415,0.8642966628074646,5,0.04238295555114746
armoire,"What are the different types and uses of storage furniture, and how do they vary in design and functionality?",0.90274394,0.8859921365976334,5,0.04198408126831055
blankets,"What are the different types and uses of blankets, and how do they vary in terms of material, size, and purpose?",0.875517,0.8548875570297241,5,0.045320987701416016
bedroom furniture,"What are the different types of furniture commonly used in a bedroom, and what factors should be considered when selecting bedroom furniture?",0.86040485,0.8571936339139938,5,0.04487776756286621
dolly,What are the different meanings and contexts associated with the term 'dolly'?,0.8045826,0.8009465247392654,5,0.039032936096191406
Clothing,"What are the different aspects of clothing, including types, functions, cultural significance, and trends?",0.83987486,0.8384549647569657,5,0.04156804084777832
desk,"What are the different types and uses of desks, and how do they vary in design and functionality?",0.90532976,0.8892842471599579,5,0.037957191467285156
display shelves,What are the different types and uses of shelves for displaying items?,0.87245226,0.8684942722320557,5,0.04101204872131348
Two large bookcases,What are the considerations and options for acquiring or utilizing large bookcases?,0.86216086,0.8504719793796539,5,0.04000091552734375
entertainment center,"What are the different types and features of entertainment centers, and how do they enhance home entertainment experiences?",0.9040014,0.8694637417793274,5,0.04215812683105469
Matresses,"What are the different types of mattresses available and how do they compare in terms of comfort, durability, and price?",0.8629788,0.8581676125526428,5,0.04161214828491211
bed toppers,"What are the different types and benefits of mattress toppers, and how do they enhance sleep quality?",0.9032763,0.8711522996425629,5,0.04089069366455078
Sofa,"What are the different types and features of seating furniture available, and how do they compare in terms of comfort, style, and functionality?",0.9025222,0.8857718020677566,5,0.04468894004821777
kitchen  serving and dining,What are the essential elements and considerations for setting up a functional and aesthetically pleasing kitchen and dining area?,0.86724544,0.8636874318122865,5,0.04357028007507324
Clothes,"What are the different types, uses, and cultural significance of clothing?",0.84780717,0.8459861934185029,5,0.03932690620422363
King size mattress not used,"What are the common reasons for a mattress to remain unused, and what should be considered when deciding whether to keep or dispose of an unused mattress?",0.849457,0.8473851442337036,5,0.07967090606689453
Wood Lathe,"What are the uses, types, and features of wood lathes, and how do they function in woodworking?",0.85301006,0.8466562986373901,5,0.044403791427612305
Dresser and nightstand,What are the essential types of bedroom furniture and their functions?,0.8893979,0.8778400033712387,5,0.04114818572998047
misc,What are the general uses and meanings of the term 'misc' across different contexts?,0.8046618,0.802587240934372,5,0.04268217086791992
love seat,"What are the different types of small seating options available for two people, and what are their features and uses?",0.87724733,0.8695604622364044,5,0.0418238639831543
baby stroller,What are the key considerations and features to look for when choosing a stroller for infants?,0.90301824,0.8867088079452514,5,0.03881525993347168
one small wooden armchair,"What are the characteristics and options available for small wooden furniture pieces, specifically armchairs?",0.85037243,0.8469827890396118,5,0.045568227767944336
Clothing,"What are the different aspects and considerations involved in clothing, including types, materials, fashion trends, and cultural significance?",0.8393818,0.8376496374607086,5,0.04474496841430664
microwave,"What are the general uses, features, and considerations when choosing or using a microwave?",0.9217713,0.891500398516655,5,0.037667036056518555
