original_query,paraphrased_query
Treadmill,"The original query ""Treadmill"" is grammatically correct and does not require any changes."
dresser with mirror,Dresser with a mirror
clothing,clothing
kitchen appliances,kitchen appliances
ladder,Ladder
Clothes,Clothing
one refrigerator,a refrigerator
cds,CDs
accent chair,Accent chair
night stand,nightstand
one nightstand,one night stand
tea table,Tea table
computer chair,computer chairs
coffee table,"The search query ""coffee table"" is already grammatically correct and clear."
a small sage green nightstand,small sage green nightstand
My wife died and I am disbursing her belongings,"My wife died, and I am distributing her belongings."
Portable air conditioner,"The query ""Portable air conditioner"" is already grammatically correct."
Lazyboy recliner,La-Z-Boy recliner
Miscellaneous clothing and shoes,Miscellaneous clothing and footwear
small white shelving wall unit,small white wall shelving unit
Queen mattress and queen bed frame,Queen mattress and queen bed frame
tall bookshelf,tall bookshelves
appliances,Appliances
one dresser,dresser
kitchen wear,kitchenware
console/buffet,console / buffet
Lazyboy couch and loveseat,La-Z-Boy couch and loveseat
large dresser with mirror,Large dresser with mirror
tv console,TV console
tv armoire,TV armoire
table and bench,table and bench
Table,Table
chair,Chair
framed pics,framed pictures
single,single
Large Thomasville sectional sofa,large Thomasville sectional sofa
bulletin board,Bulletin board
electric range,Electric range
"Foldable bookcases
Sewing mannequin
Pillows and comforter
Possible other home items","Foldable bookcases  
Sewing mannequin  
Pillows and comforter  
Other possible home items"
silver,"Your query is already grammatically correct: ""silver."""
Queen Bed,queen bed
Christmas tree,"The search query ""Christmas tree"" is already grammatically correct and clear. No improvement is needed."
Queen mattress,Queen mattress
recliner,Recliner
wood dining table,Wooden dining table
Kitchen and Bathroom idems,Kitchen and Bathroom items
a brand new pedestal sink,brand new pedestal sink
Oak desk,Oak desk
armoire,Armoire
dining table and grandmother clock,dining table and grandfather clock
blankets,blankets
Clothing,Clothing
dolly,Dolly
bedroom furniture,Bedroom furniture
entertainment center,Entertainment center
display shelves,display shelf
Two large bookcases,two large bookcases
desk,Desk
Matresses,Mattresses
Sofa,Sofa
bed toppers,Bed toppers
kitchen  serving and dining,kitchen serving and dining
Clothes,Clothing
King size mattress not used,Unused king size mattress
Dresser and nightstand,Dresser and nightstand.
Wood Lathe,Wood lathe
misc,miscellaneous
love seat,loveseat
baby stroller,baby strollers
Clothing,Clothing
one small wooden armchair,one small wooden armchair
microwave,Microwave
Tables,Tables
Two couches and recliner,Two couches and a recliner
Large couch,Large sofa
winter accessories,Winter accessories
Clothing/towels/shoes/small household items,"Clothing, towels, shoes, small household items"
one desk chair,desk chair
Large,large
Rocking Chair Recliner,Rocking Chair Recliner
clothing,Clothing
Dining table,Dining table
piano and day bed,piano and daybed
Books,Books
air fryer,Air fryer
Disassembled bed head board,Disassembled bed headboard
Washer,Washing machine
bed,Bed
Queen size mattress,Queen-sized mattress
TV,Television
Couch,Couch
mattress,Mattress
mattress,mattress
curio cabinet,Curio cabinet
small fridge,Small refrigerator
patio table,Patio table
One sofa & one loveseat,One sofa and one loveseat
blankets,Blankets
Sectional ground floor two pieces,"Sectional ground floor, two pieces"
Clothes,Clothing
Queen Mattress,Queen mattress
Couch,Couch
cast iron sink,Cast iron sink
coffee table,"The query ""coffee table"" is already grammatically correct and clear. No changes are needed."
"Large white stove 
Range top
Furniture",Large white stove range top furniture
two large recliners leather as well,two large leather recliners as well
dryer,dryer
Mattress,"The grammar of the query ""Mattress"" is already correct, but for clarity, you could state it as ""Mattress information"" or ""Mattress options"" depending on the context or what you are specifically looking for."
large tv stand,large TV stand
Loveseat and sectional L shaped sofa,Loveseat and sectional L-shaped sofa
Sofa,Sofa
small vacuum,small vacuum cleaner
two tear scaffold with support bars and walk panels,two-tier scaffold with support bars and walk panels
vacuum,"The query ""vacuum"" is already grammatically correct."
and bookcase,bookcase
glasses,Glasses
coffee table,"The search query ""coffee table"" is already grammatically correct and clear. No changes are needed."
Clothing and toys,Clothing and toys
dining table set,dining table set
Glass top coffee table,Glass-top coffee table
books,Books
Clothes,Clothing
night stand,nightstand
Sectional couch,Sectional sofa
Desk,Desk
Very large treadmill & exercise bike,Very large treadmill and exercise bike
King size bed frame and office chair,King-size bed frame and office chair
Foot Locker,Foot Locker
TV Stand,TV stand
lots of functionality,functionalities
bar unit,Bar unit
a wing chair,Wing chair
plate set,Plate set
Bathroom vanity with two sinks,Bathroom vanity with two sinks
table and six chairs,Table and six chairs.
electric reclining chair,Electric recliner chair
Bed frame,Bedframe
TVs,TVs
chalkboard,Chalkboard
Clothing,Clothing
packnplay,pack and play
a coffee table and two chsirs,a coffee table and two chairs
one fire pit,One fire pit
carpet,carpet
and laser printer,laser printer
bedding,bedding
portable washer,Portable washing machine
Sofa,Sofa
and medium chair,medium chair
elliptical,elliptical machine
Bedroom furniture,Bedroom furniture
lights,light
Modular couch,Modular sofa
tile,Tile
Entertainment center,Entertainment center
Dresser,Dresser
dressers,Dressers
picture frames,Picture frames
loveseat and a queensize bed,loveseat and a queen-size bed
dining room table,Dining room table
unit on first floor with one set of stairs up to the front door,Unit on the first floor with one set of stairs leading up to the front door.
Clothes,Clothing
child shoes,children's shoes
twin bed frame dismantled,dismantled twin bed frame
headboard,Headboard
two diningroom hutch,two dining room hutches
gloves,Gloves
misc items,miscellaneous items
one king mattress,king mattress
small sofa,"No changes needed. The query ""small sofa"" is already grammatically correct."
books,Books
sofa bed,Sofa bed.
"Medium sized couch
Rocking chair 
Patio table","medium-sized couch  
rocking chair  
patio table"
Clothing,Clothing
one king mattress,king mattress
Household items,Household items
twin bed,twin beds
full size bed will need disassemble,Full-size bed will need disassembly.
Stationary Bike,Stationary bike
Mostly xmas decorations,Mostly Christmas decorations
Clothing,Clothing
home decor,Home décor
chairs,Chairs
Sleeper Sofa,Sleeper sofa
queen bed headboard and foot board,queen bed headboard and footboard
end table,end table
small furniture,small furniture
Oak bedroom set,Oak bedroom set
toys,Toys
Sofa and loveseat,Sofa and loveseat.
Sofa sleeper,Sofa bed sleeper
long woven tray,long woven tray
books,Books
Couch set,Couch set
toys,toys
tall bureau,Tall bureau
bookcase,book case
small shelves,small shelves
large dresser,large dresser
wood bathroom mat,Wooden bathroom mat
brand new without mirror,Brand new without a mirror
Bed,Bed
wooden desk,No changes needed.
Jackets,Jackets
single,single
Full sized couch and two chandeliers,Full-sized couch and two chandeliers
Household items,Household items
Large Jordan's furniture sectional sofa,Large Jordan's Furniture sectional sofa
foyer table,foyer table
armoire,Armoire
Headboard and full bed frame,Headboard and full-size bed frame
French door fridge,French door refrigerator
Dining room table,Dining room table
baby shoes,Baby shoes
clothing donations,Clothing donation
desk,desk
Small couch,small couch
dining room table and six chairs,dining room table and six chairs
"large bedframe and mattress
chairs 
bench 
printer","large bed frame and mattress  
chairs  
bench  
printer"
oxygen machines,Oxygen machines
excellent condition in no smoking,excellent condition in non-smoking
one dining room,dining room for one
mattress,mattress
end table,End table
books,Books
art work,artwork
Computer desk/hutch and bookcase,Computer desk with hutch and bookcase
only,only
Antique Sofa,Antique sofa
decorative pillows,Decorative pillows
one vanity table with mirror,vanity table with mirror
bed frame,Bed frame.
love seat sofa bed,loveseat sofa bed
sofa,Sofa
Winter coats,Winter coats
electric space heater,Electric space heater.
a medium sized table,a medium-sized table
wallpaper donation,Donate wallpaper
coffee table,"The search query ""coffee table"" is already grammatically correct and does not require any changes."
camping stove,Camping stove
Large rosewood cabinet,Large rosewood cabinet.
desk chair,desk chair
King mattress,King mattress
dishes,Dishes
Two mattresses a rug,Two mattresses and a rug
"Sofa bed full size
Antique white wood chair
Wood/formica desk 
Pillows","Full-size sofa bed  
Antique white wooden chair  
Wood/Formica desk  
Pillows"
A large bombie dresser,Large bombie dresser
large wooden TV stand,Large wooden TV stand
patio furniture full set,full set of patio furniture
Standard couch,Standard sofa
power lift recliner,Power lift recliner
TV console,TV console
household items,Household items
books,Books
rug,rug
china closet,China cabinet
kitchen supplies,Kitchen supplies
one small recliner,one small recliner
Commercial printer multifunctional,Multifunctional commercial printer
large solid wood credenza with wine bottle storage,Large solid wood credenza with wine bottle storage
Standard Refrigerator in garage,Standard refrigerator in garage
end table,End table
wood side table cabinet,wooden side table cabinet
One large sectional couch,Large sectional couch
computer desk,Computer desk
Macy's Leather Sofa and Loveseat,Macy's leather sofa and loveseat
shoes,Shoes
bookshelves,bookshelves
antique harvest table and IKEA TV stand,antique harvest table and IKEA TV stand
some signs of wear and tear,signs of wear and tear
coffee table,"The search query ""coffee table"" is already grammatically correct and clear. No changes needed."
bench,Bench
two dressers,two dressers
night stands,nightstands
kitchen miscelaneous,kitchen miscellaneous
hall table,Hall table
Sofa,"The query ""Sofa"" is grammatically correct and does not require any changes."
Large black futon and electric fireplace with mantel,Large black futon and electric fireplace with a mantel
"Solid wood queen bed
Solid wood dresser
Solid wood nightstand","Solid wood queen bed, solid wood dresser, solid wood nightstand"
backrest part does come off for easier lifting,Does the backrest part come off for easier lifting?
shoe cabinet,Shoe cabinet
two bookcases,two bookcases
loveseat and two chairs dressers and armoire,"Loveseat and two chairs, dressers, and armoire"
table,Table
thin skinny lingerie chest,thin skinny lingerie chest
Brown sleigh/day bed trundle,Brown sleigh/daybed trundle
chair,Chair
full size bed,full-size bed
Kids toys,Kids' toys
popcorn popper,Popcorn popper
Sectional couch,Sectional sofa
puzzles,Puzzles
matching living room chairs,matching chairs for the living room
dresser,Dresser
storage shelf,Storage shelves
small desk,small desk
headboard,Headboard
small storage chest,small storage chest
small bookshelf,Small bookshelf
Clothing items,Clothing items
two couches,Two couches
large very heavy desk with attached drawers and shelves,"large, very heavy desk with attached drawers and shelves"
Folding sofa bed,Foldable sofa bed
large sectional sofa,Large sectional sofa
dining room set chest,dining room set with chest
loveseat and chair,Loveseat and chair
Sofa,Sofa
arm chairs,armchairs
Toys,Toys
desks,desk
chest of drawers,"The query ""chest of drawers"" is already grammatically correct."
Working Samsung Clothes Washer with all accessories and owners manual,Working Samsung clothes washer with all accessories and owner's manual
wine cabinet,wine cabinet
a full dresser and small bedside table/dresser,full dresser and small bedside table/dresser
dining room table,dining room table
bed frames,Bed frames
Loveseat couch,Loveseat couch
miscellaneous household items along with some medical items,Miscellaneous household items and some medical items
Bunk bed,"The search query ""Bunk bed"" is already grammatically correct."
medium antique,antique medium
Large wooden entertainment center,Large wooden entertainment center
Intact kitchen cabinets,Intact kitchen cabinets
Office furniture,Office furniture
and small decorative items,small decorative items
kitchen table and chairs,kitchen table and chairs
dishes,"The grammar of the query ""dishes"" is already correct."
sofa and leather chair,Sofa and leather chair
side table,Side table
one vertical dresser with mirror,Vertical dresser with mirror
recliner,Recliner
portable AC,Portable air conditioner
Sofa,Sofa
Dining room hutch,Dining room hutch
coffee table,"The search query ""coffee table"" is already grammatically correct and does not require improvement."
Sofa  coffee table,Sofa coffee table
"Mattress set in good condition 
Was in a rarely used guest room","Mattress set in good condition, used in a rarely occupied guest room"
electronics,Electronics
Kitchen table,Kitchen table
pine bureau,Pine bureau.
Woman's clothes sizes M,Women's clothes size M
one dresser and one single chair,one dresser and one chair
kitchen miscelaneaus,kitchen miscellaneous
Small bureau dresser,Small bureau dresser
C,It seems like your query is incomplete. Could you please provide more details or context so I can help improve the grammar?
Desks,Desks
disassembled,disassembled
two pieces,two pieces
A credenza with an electric fireplace,Credenza with an electric fireplace
queen size beg,queen size bed
Large Sofa with slip cover and pillows,Large sofa with slipcover and pillows
two bed frames,two bed frames
not very heavy,Not very heavy
throw pillows,Throw pillows
Men clothes,Men's clothes
Medium size sectional sofa,Medium-sized sectional sofa
Couch with a queen size bed,Couch with a queen-size bed
small mini fridge,small mini-fridge
Clothes and shoes,Clothing and shoes
papasan chair with cushion,Papasan chair with a cushion
lamp,Lamp
Sectional and tv chest,Sectional and TV chest
shoes,"The query ""shoes"" is already grammatically correct."
chair,Chair
doors that open and close,Doors that open and close.
Wood Office desk,Wood office desk
bar cart,Bar cart
Single bed pull out couch,Single bed pull-out couch
rocking chair,rocking chair
pans,pans
Recliner,Recliner
and Fridge,Fridge
Twin size trundle bed,Twin-size trundle bed
desk,desk
Large wooden armoire,Large wooden armoire
one blazer,one blazer
table,Table
bed/mattress,bed or mattress
large television stand,large TV stand
oversized armchair,Oversized armchair
and propane tank cover,propane tank cover
plus a couch and loveseat,couch and loveseat included
Pottery Barn sectional sofa,Pottery Barn sectional sofa
and large linear light fixture,large linear light fixture
China Cab,China Cabinet
I will be available to help,I am available to help.
entertainment center,Entertainment center
armoire,Armoire
Household,Household
dresser,Dresser
computer chair,computer chairs
television stand,Television stand
Couch that turns into sofa bed,Couch that converts into a sofa bed
bowls,Bowls
Corner computer desk,Corner computer desk
magazine rack and craft cabinet,magazine rack and craft cabinet
MIxed garage items,Mixed garage items
a grandfather clock,grandfather clock
inversion table,Inversion table
dresser,dresser
Sofa from Ashley,Sofa by Ashley
"Women’s clothing
Men and women’s Indian formal dresses and clothing","Women's clothing, men's, and women's Indian formal dresses and clothing"
Dresser with mirror,Dresser with a mirror
Hutch cupboard,Hutch cupboard.
china cabinet,China cabinet
Clothing,Clothing
Four poster bed frame king size,King size four poster bed frame
Clothes and blankets,Clothing and blankets
large armoire cabinet and a sideboard dining buffet,Large armoire cabinet and sideboard dining buffet
twin bed,Twin bed
crib,Crib
miscellaneous household items,Miscellaneous household items
two end tables,two end tables
Couch with pull out bed,Couch with a pull-out bed
puzzle books,Puzzle books
table,table
large dresses,large dress
Comforters,Comforters
love seat,loveseat
Armoire dresser,Armoire dresser
Large flat screen tv,Large flat-screen TV
variety of upholstered chairs,variety of upholstered chairs
secretary,secretary duties
loveseat,Loveseat
Clothing,Clothing
ottoman,Ottoman
end table/cabinets,end tables/cabinets
no issues,No issues.
Furniture Item: Buffet,Furniture Item: Buffet
two cushion love seat,two-cushion loveseat
ottoman,Ottoman
Queen size bed,Queen-size bed
Full mattress,Full mattress
console and media table,Console and media table
Deluxe Adjustable Bed,Deluxe Adjustable Bed
clothes,Clothing
Standup organ,Stand-up organ
smaller tables,small tables
painting,Painting
queen bed,Queen bed
two dressers,two dressers
Clothes,Clothing
sofa,Sofa
Side Board,Sideboard
small office refrigerator,Small office refrigerator
Queen mattress,queen mattress
clothing,Clothing
Couch,Couch
cooking equipment,Cooking equipment
pictures,pictures
Clothes,Clothing
lamp shades,Lamp shades
Pull out Queen sized couch,Pull-out Queen-sized couch
dinning buffet and hutch,dining buffet and hutch
dresser,dresser
great condition,great condition
two end tables,two end tables
desk,Desk
Miscellaneous items ranging from gently worn mens shoes,Miscellaneous items ranging from gently worn men's shoes
drawers,Drawers
Couch,Couch
Table,Table
tv stand,TV stand
Perfect mattress,Perfect mattress.
flat screen led TV,Flat screen LED TV
steel frame,Steel frame
Love seat,Loveseat
pics,pictures
blender,Blender
Armoire,Armoire
Couch,Couch
small drawers,small drawers
Fridge in garage,Fridge in the garage
mattress,mattress
"BIG King size bed with mattress head board foot board
Two night stands one tall dresser
Sofa sleeper love seat
Two small coffee tables and recliner","Big king-size bed with mattress, headboard, and footboard  
Two nightstands, one tall dresser  
Sofa sleeper, loveseat  
Two small coffee tables and a recliner"
Christmas decorations,Christmas decorations
bed sheets,Bed sheets
Queen headboard,Queen headboard
Real Marble Coffee Table,real marble coffee table
Large wooden desk,Large wooden desk
Large sectional couch in two pieces,Large sectional couch in two pieces.
nightstand,night stand
and a small file cabinet,small file cabinet
small wooden table,small wooden table
tv,TV
small recliner,Small recliner.
Queen size bed headboard and tall armoire to match,Queen-size bed headboard and tall armoire to match
Oversized armchair and smaller wooden ikea chair with ottoman,Oversized armchair and smaller wooden IKEA chair with ottoman
Refrigerator,Refrigerator
synthetic leather love seat sofa,synthetic leather loveseat sofa
Dresser,Dresser
Sofa,Sofa
DR TABLE,Dr. Table
ELECTRIC RECLINING CHAIR,Electric reclining chair
end tables,End tables
Various Household items,Various household items
"Household items 
Women’s clothing",Household items and women's clothing
end tables,End tables
loveseat,Loveseat
Piano,The piano.
"Lots of Chairs and couches
Various Items included: tables for preschoolers","Lots of chairs and couches, various items included: tables for preschoolers"
Armoire and dresser,Armoire and dresser.
lawnmower,Lawn mower
small decorative table with mirror,Small decorative table with mirror
Couch sofa sleeper,Couch sofa sleeper
brown desk,Brown desk
pillow,Pillow
Media Cabinet,Media cabinet
Clothing,Clothing
misc,miscellaneous
one painting,One painting
small coffee table,Small coffee table
sink top,Sink top
Loveseat and coffee table,Loveseat and coffee table.
Two sofas,Two sofas
Sleeper sofa,"The grammar of the query ""Sleeper sofa"" is already correct and does not require improvement."
bench,"Search for ""bench."""
Upright piano,"The search query ""Upright piano"" is already grammatically correct and clear. No changes are needed."
vintage pieces,Vintage items
Wooden twin bed with dresser and computer desk,Wooden twin bed with a dresser and a computer desk
two arm chairs,two armchairs
glider and ottoman,glider and ottoman
assorted electrical supplies,Assorted electrical supplies.
Sofa,Sofa
upright freezer,Upright freezer
various other smaller items,Various other smaller items
china cabinet and buffe cabinet,China cabinet and buffet cabinet
Two brown leather recliners,Two brown leather recliners
shoes,"The grammar of the query ""shoes"" is already correct, so no changes are needed."
reclining armchair,Reclining armchair
Today home curios,Today's home curios
one metal storage shelf,one metal storage shelf
Two nightstands,Two nightstands
Large sectional sofa with three reclining sections and ottoman,Large sectional sofa with three reclining sections and an ottoman
futon,Futon
clothes,clothing
shoes,Shoes
Estate Sale,Estate sale
big man recliner,Big man recliner
armoire,Armoire
curtains,"The grammar of the search query ""curtains"" is already correct."
tall lamp,Tall lamp
Ceiling fans,Ceiling fan
heavy dresser,heavy dresser
pants,Pants
Sectional sofa,Sectional sofa
Ethan Allen Sofa,Ethan Allen sofa
Desk,Desk
two twin mattresses,two twin-size mattresses
Macys white recliner sofa,Macy's white recliner sofa
wall microwave,wall-mounted microwave
Sectional couch,Sectional sofa
coat stand,Coat stand
kitchen items,kitchen utensils
bike,bicycle
hutch,hutch
small TV,small TV
and chair,chair
Bedframe,Bed frame
gently used clothes,gently-used clothes
head and foot board,headboard and footboard
dresser,dresser
Dining Room Table,dining room table
futon,"No changes needed. The query ""futon"" is already grammatically correct."
tv,TV
couch,Couch
queen sized upholstered bed,queen-size upholstered bed
pots and pans,Pots and pans
IKEA loveseat,IKEA loveseats
area rugs,Area rugs
HOME DECOR AND HOME ITEMS,Home Decor and Home Items
Furniture,Furniture
shoes,Shoes
clothing and store supply items,Clothing and store supply items
two loveseats that recline,Two reclining loveseats
Clothes,Clothing
Xmas decorations,Christmas decorations
Wooden Wardrobe,Wooden wardrobe
misc,Miscellaneous
Sectional sofa,Sectional sofa
Bookcases,Bookcases
Large white sofa,large white sofa
table,table
two small,two small
Lazyboy recliner sofa,La-Z-Boy recliner sofa
Clothes,Clothing
rocking chair,rocking chair
Sectional Sofa,Sectional sofa
Children’s dresser,Children's dresser
electronics,Electronics
Clothes,Clothing
dresser,dresser
Refrigerator,"The query ""Refrigerator"" is grammatically correct and does not require changes."
book case,bookcase
Partly pained antique dinosaur ng table with pull out leaves,Partly painted antique dinosaur dining table with pull-out leaves
twin bed,twin beds
couch,Couch
Sofa,"The search query ""Sofa"" is already grammatically correct. If you intended a longer query or additional context, please provide more details."
Copenhagen imports dinning table,Copenhagen imports dining table
two shelf book shelf,two-shelf bookshelf
loveseat and ottoman and lamp,"loveseat, ottoman, and lamp"
lamp,"The query ""lamp"" is already grammatically correct and does not require any changes."
chest of drawers,"The query ""chest of drawers"" is already grammatically correct."
Recliner,Recliner
books,Books
large rug,Large rug
mini bar,Mini bar
clothes,Clothing
large leather coffee table,Large leather coffee table
Small table,small table
heavy piece,heavy pieces
children's crib,children's crib
housewares,Housewares
leather loveseat,Leather loveseat
seat lift w recline,seat lift with recline
Kids furniture dresser,Kids' furniture dresser
ladder,"No changes are needed. The query ""ladder"" is already grammatically correct."
Table,Search for a table.
table & chairs,table and chairs
tables,Tables
tall bookcase,Tall bookcase.
couch,Couch
wheel barrow,wheelbarrow
tv stand,TV stand
easel,easel
Couch and love seat,Couch and loveseat
one recliner,recliner
table,Table
Sofa,Sofa
coffee table,"The grammar of the query ""coffee table"" is already correct."
desk desk chair,desk and desk chair
Electric Dryer,Electric dryer
more two coffee,more than two coffee
Medium/large green sofa,medium/large green sofa
One table with four chairs,Table with four chairs
one smart tv,smart tv
Sofa,Sofa
love seat,loveseat
cups,Cups
mini fridge,Mini fridge
cabinet,Cabinet
mirror,"The grammar of your query is correct. If you're searching for information about mirrors, you might consider adding more context or details to specify what you're looking for."
Queen size sleep sofa,Queen-size sleep sofa
small table,small table
adjustable motorized bed and mattress,Adjustable motorized bed and mattress.
coffee table,"The search query ""coffee table"" is already grammatically correct."
Full size bed,Full-size bed
books,Books
blankets,Blankets
chairs,Chairs
Sleeper Sofa & Love Seat,Sleeper Sofa & Loveseat
all working stove,all working stoves
refrigerator,Refrigerator
One loveseat,Loveseat
queen mattress,queen mattress
Sofa,Sofa
Large wooden desk,Large wooden desk
kitchen items,kitchen utensils
One full pull out sleeper sofa and one regular sofa,One full pull-out sleeper sofa and one regular sofa
Lots of furniture/odds and ends,Lots of furniture/odds and ends.
lounger,Lounger
Outside table,Outdoor table
Two glass & metal craft/office desks,Two glass and metal craft/office desks
shoes,"The query ""shoes"" is already grammatically correct and clear."
kitchen items,Kitchen items
night table,nightstand
Ashley double reclining loveseat,Ashley double reclining loveseat
bedding,Bedding
DVD cabinet,DVD cabinet
A sectional couch and dining table,Sectional couch and dining table
A queen sized bed,Queen-sized bed
Large solid wood desk,Large solid-wood desk
Washer and dryer,Washer and dryer.
nightstand tables,nightstand tables
clothing,No changes needed.
square coffe table,square coffee table
dresser with mirror,Dresser with mirror
Clothes,Clothing
several bookshelves,Several bookshelves
Large metal garage storage,Large metal garage storage units
Large oak roll top desk,Large oak roll-top desk
loveseat,loveseat
wooden side table,Wooden side table
three stool chairs,three stools chairs
nightstand,Nightstand
Dresser,"The grammar of the search query ""Dresser"" is already correct."
small desk and chair,Small desk and chair.
Large sectional couch,Large sectional sofa
A  buffet w/Hutch and recliner,Buffet with hutch and recliner
microwave,Microwave
tall dresser and desk,Tall dresser and desk.
and TV stand,TV stand
Heavy tv stand with drawers,Heavy TV stand with drawers
Large king bed frame,King-size bed frame large
weight machine,weight scale
wooden storage side table,Wooden storage side table
A couch,A couch
Office furniture,Office furniture
wooden desk with drawers,Wooden desk with drawers
small book shelve,small bookshelf
"used but like new
IKEA bedside lamp 
IKEA bedside table",used but like new IKEA bedside lamp IKEA bedside table
Several office desks and other furniture,Several office desks and other pieces of furniture
Bed,"The search query ""Bed"" is already grammatically correct and clear. No improvement is needed."
pillows,Pillows
couch,Couch
dresser,"The search query ""dresser"" is already grammatically correct."
