item_name,description,category,intended_use,indoor_or_outdoor,portable,size
Bar table,"A tall table designed for seating with bar stools, commonly used in dining or bar areas.",Furniture,Designed for seating with bar stools.,Indoor,No,Medium
Barbecue Grill,"A cooking appliance used outdoors for grilling food, typically powered by charcoal, gas, or electricity.",Outdoor Appliance,Used for grilling food outdoors.,Outdoor,Yes,Medium
Barbell,"A long bar with adjustable weights on both ends, used for weightlifting and strength training.",Fitness Equipment,Used for weightlifting and strength training.,Indoor,No,Large
Barber Chair,"A reclining chair with adjustable height, used in barbershops for haircuts and grooming.",Furniture,Used for haircuts and grooming.,Indoor,No,Large
Baseball Bat,"A solid, cylindrical stick used in baseball to hit the ball during play.",Sports Equipment,Used to hit the ball during baseball play.,Outdoor,Yes,Medium
Basket,"A container made of woven materials, used for storage or carrying items.",Storage,Used for storage or carrying items.,Both,Yes,Medium
Basketball,"An inflated ball used in the game of basketball, designed for bouncing and shooting into hoops.",Sports Equipment,Used for playing basketball.,Both,Yes,Large
Basketball Hoop,"A metal ring with a net attached, used as the target for scoring points in basketball.",Sports Equipment,Used as the target for scoring points in basketball.,Both,No,Large
Bathroom Cabinet,"A storage unit for toiletries, often mounted on or under a bathroom sink.",Furniture,Used for storing toiletries.,Indoor,No,Medium
Bathroom Sink,"A basin installed in a bathroom, used for washing hands and face.",Bathroom Fixture,Used for washing hands and face.,Indoor,No,Medium
Bathtub,"A large container for bathing, often installed in bathrooms.",Bathroom Fixture,Used for bathing.,Indoor,No,Large
Bean Bag Chair,"A soft, cushion-like chair filled with beans or foam, designed to conform to the sitter’s shape.",Furniture,A chair for sitting comfortably.,Indoor,Yes,Medium
Bed Frame,"A structure that supports a mattress and raises it off the floor, often with a headboard and footboard.",Furniture,Supports a mattress and raises it off the floor.,Indoor,No,Large
Bedside Table,"A small table placed beside a bed for holding lamps, books, or personal items.",Furniture,"A table for holding lamps, books, or personal items beside a bed.",Indoor,Yes,Small
Bench,"A long seat designed to accommodate multiple people, often found in parks or dining areas.",Furniture,A long seat for multiple people.,Both,No,Large
Benchtop Jointer,A woodworking tool used to create flat surfaces along the edges of wooden boards.,Woodworking Tool,Used to create flat surfaces along the edges of wooden boards.,Indoor,No,Medium
Bicycle,"A two-wheeled vehicle powered by pedaling, often used for transportation or recreation.",Transportation,Used for transportation or recreation.,Outdoor,Yes,Medium
Bike Rack,"A structure for storing or securing bicycles, often mounted on vehicles or walls.",Outdoor Equipment,Used for storing or securing bicycles.,Both,Yes,Medium
Bird Cage,"An enclosure for housing pet birds, designed to provide both safety and space.",Pet Supplies,An enclosure for housing pet birds.,Indoor,Yes,Medium
Bistro Set,"A small table with two matching chairs, commonly used for outdoor dining or patios.",Furniture,Used for outdoor dining or patios.,Outdoor,Yes,Small
Blender,"A kitchen appliance used to mix, puree, or emulsify food and beverages.",Kitchen Appliance,"Used to mix, puree, or emulsify food and beverages.",Indoor,Yes,Medium
Blinds / Shades,"Window coverings made of horizontal or vertical slats or fabric, used to block light or provide privacy.",Home Decor,Used to block light or provide privacy.,Indoor,No,Medium
Bookcase,"A piece of furniture with shelves, used for storing books and decorative items.",Furniture,Used for storing books and decorative items.,Indoor,No,Large
Bookshelf ,A set of horizontal shelves designed specifically to hold books.,Furniture,Designed to hold books.,Indoor,No,Medium
Bow Flex Exercise Machine,A home gym machine using flexible rods for resistance training.,Fitness Equipment,Used for resistance training.,Indoor,No,Large
Bricks,"Solid blocks made of clay or concrete, used in construction.",Construction Material,Used in construction.,Both,No,Medium
Broom,"A cleaning tool with a long handle and bristles, used for sweeping floors.",Cleaning Tool,Used for sweeping floors.,Indoor,Yes,Medium
Bucket,"A round, open container with a handle, used for carrying liquids or materials.",Container,Used for carrying liquids or materials.,Both,Yes,Medium
Bunk Bed,"A bed frame with two stacked beds, designed to save space.",Furniture,Designed to save space in a bedroom.,Indoor,No,Large
Bureau,"A piece of furniture with drawers, used for storing clothes or personal items.",Furniture,Used for storing clothes or personal items.,Indoor,No,Medium
Butcher Block Table,A sturdy wooden table often used in kitchens for food preparation.,Furniture,Used in kitchens for food preparation.,Indoor,No,Medium
Cabinet,"A storage unit with doors or drawers, used for organizing household items.",Furniture,Used for organizing household items.,Indoor,No,Medium
Camera Tripod,A three-legged stand used to stabilize cameras for photography or videography.,Electronics,Used to stabilize cameras for photography or videography.,Both,Yes,Medium
Camping Bed,"A portable bed designed for outdoor use, often foldable and lightweight.",Outdoor Equipment,Primarily used for sleeping outdoors.,Outdoor,Yes,Medium
Camping Chair,A foldable chair made for outdoor activities like camping or picnics.,Furniture,Made for outdoor activities like camping or picnics.,Outdoor,Yes,Medium
Candle Holder,A decorative item designed to hold candles upright.,Home Decor,Holds candles upright.,Indoor,Yes,Small
Cane,"A walking aid used for support or balance, typically made of wood or metal.",Mobility Aid,Used for support or balance while walking.,Both,Yes,Medium
Canoe,"A narrow, lightweight boat, often propelled with a single-bladed paddle.",Watercraft,Used for paddling on water.,Outdoor,Yes,Medium
Canopy,"A fabric covering supported by poles, used for shade or shelter.",Outdoor Equipment,Used for shade or shelter.,Outdoor,Yes,Large
Carpet,"A large, soft floor covering, often made of woven fabric, used to enhance comfort and aesthetics.",Home Decor,Used to enhance comfort and aesthetics.,Indoor,No,Large
Carpet Cleaner,A machine or device used for deep cleaning carpets and removing stains.,Cleaning Appliance,Used for deep cleaning carpets and removing stains.,Indoor,Yes,Medium
Cart,"A wheeled structure used for carrying or transporting goods, often pushed or pulled by hand.",Transport Equipment,Used for carrying or transporting goods.,Both,Yes,Medium
Cat Tree,"A multi-level structure designed for cats to climb, scratch, and play.",Pet Furniture,"Designed for cats to climb, scratch, and play.",Indoor,No,Large
CD Rack,A storage unit designed to organize and hold compact discs (CDs).,Furniture,Organize and hold compact discs.,Indoor,Yes,Medium
Ceiling Fan,"A fan mounted on the ceiling, used for air circulation and cooling.",Home Appliance,Used for air circulation and cooling.,Indoor,No,Medium
Ceiling Light,"A light fixture installed on the ceiling, providing overhead illumination.",Lighting,Provides overhead illumination.,Indoor,No,Medium
Cement Block,"A rectangular block made of cement, used in construction.",Construction Material,Used in construction.,Both,No,Large
Ceramic Tile,"A durable material used for flooring, walls, or countertops, made of baked clay.",Building Material,"Used for flooring, walls, or countertops.",Both,No,Medium
Chain,"A series of connected metal links, used for securing, towing, or lifting.",Hardware,"Used for securing, towing, or lifting.",Both,Yes,Medium
Chalkboard,"A smooth, dark surface used for writing or drawing with chalk.",Office Supplies,Used for writing or drawing with chalk.,Indoor,Yes,Medium
Chandelier,"A decorative ceiling-mounted light fixture, often with multiple arms and light sources.",Lighting,Used for decorative ceiling lighting.,Indoor,No,Large
Changing table,"A table designed for changing baby diapers, usually with storage for supplies.",Furniture,Used for changing baby diapers.,Indoor,No,Medium
Chest,"A large, rectangular storage box, often used for clothes, linens, or keepsakes.",Furniture,"Used for storing clothes, linens, or keepsakes.",Indoor,No,Large
Chest Freezer,"A horizontal freezer with a lid that opens from the top, used for storing frozen items in bulk.",Appliance,Used for storing frozen items in bulk.,Indoor,No,Large
Chest of Drawers,A furniture piece with stacked horizontal drawers for storing clothes or personal items.,Furniture,Used for storing clothes or personal items.,Indoor,No,Medium
Child Car Seat,A safety seat designed to protect children while traveling in vehicles.,Child Safety,Protect children while traveling in vehicles.,Indoor,Yes,Medium
China Cabinet,"A glass-fronted cabinet used to display and store fine china, dishes, or collectibles.",Furniture,"Used to display and store fine china, dishes, or collectibles.",Indoor,No,Large
Clothes Rack,A freestanding or wall-mounted structure used to hang clothing for storage or drying.,Furniture,Used to hang clothing for storage or drying.,Indoor,Yes,Medium
Cocktail Table,"A low table placed in front of a sofa, often used for serving drinks or snacks.",Furniture,Used for serving drinks or snacks.,Indoor,No,Medium
Coffee Maker,A kitchen appliance used to brew coffee by dripping water through coffee grounds.,Kitchen Appliance,Used to brew coffee.,Indoor,Yes,Medium
Coffee Table,"A low table designed for placement in front of a sofa, often used for magazines or decor.",Furniture,Designed for placement in front of a sofa.,Indoor,No,Medium
Computer Monitor,A screen used to display visual output from a computer.,Electronics,Used to display visual output from a computer.,Indoor,No,Medium
Computer Rack,A frame or enclosure used to organize and store servers or computer equipment.,Electronics,Used to organize and store servers or computer equipment.,Indoor,No,Large
Conference Table,"A large table designed for meetings or group discussions, often found in office spaces.",Furniture,Designed for meetings or group discussions.,Indoor,No,Large
Console Table ,"A narrow table placed against a wall or behind a sofa, often used for decor or storage.",Furniture,Used for decor or storage.,Indoor,No,Medium
Console TV,"An older television model encased in a cabinet-style frame, often with built-in storage.",Electronics,Used for watching television.,Indoor,No,Large
Cooler,"An insulated container used to keep food and beverages cool, often used for picnics or camping.",Outdoor Equipment,Used to keep food and beverages cool.,Outdoor,Yes,Medium
Countertop,"A flat surface used for preparing food, typically found in kitchens or bathrooms.",Furniture,Used for preparing food.,Indoor,No,Large
Credenza,"A low, long cabinet used for storage in dining rooms, offices, or living rooms.",Furniture,"Used for storage in dining rooms, offices, or living rooms.",Indoor,No,Large
Cubicule,"A small, semi-enclosed workspace, often used in offices for individual employees.",Furniture,Used in offices for individual employees.,Indoor,No,Small
Curio Cabinet,"A glass-fronted cabinet used to display collectibles, keepsakes, or decorative items.",Furniture,"Used to display collectibles, keepsakes, or decorative items.",Indoor,No,Medium
Curtain,"A fabric panel hung over windows for privacy, decoration, or to block light.",Home Decor,"Used for privacy, decoration, or to block light.",Indoor,Yes,Medium
Curtain Rod,A horizontal rod used to hang and support curtains over windows or doors.,Home Decor,Used to hang and support curtains over windows or doors.,Indoor,No,Medium
Deck Chair,"A lightweight, foldable chair designed for outdoor relaxation on decks or patios.",Furniture,Designed for outdoor relaxation on decks or patios.,Outdoor,Yes,Medium
Desk,"A table designed for working or studying, often with drawers or compartments for storage.",Furniture,Designed for working or studying.,Indoor,No,Medium
Desk Chair,"A chair designed for use at a desk, often ergonomic and adjustable.",Furniture,Designed for use at a desk.,Indoor,No,Medium
Desktop Computer,"A personal computer designed to be used on a desk, often with a separate monitor, keyboard, and mouse.",Electronics,Used for personal computing tasks.,Indoor,No,Medium
Dining Chair,"A chair used at a dining table, typically designed for comfort during meals.",Furniture,Used at a dining table for comfort during meals.,Indoor,Yes,Medium
Dining Table,"A table designed for meals, often with enough seating for multiple people.",Furniture,Designed for meals,Indoor,No,Large
Dishwasher,"A kitchen appliance used to clean dishes, utensils, and cookware automatically.",Kitchen Appliance,"Used to clean dishes, utensils, and cookware automatically.",Indoor,No,Large
Display Cabinet,A glass-enclosed cabinet used to showcase decorative items or collections.,Furniture,Used to showcase decorative items or collections.,Indoor,No,Medium
Dog Crate,"An enclosed space designed for housing dogs, often used for training or travel.",Pet Supplies,Used for housing and training dogs.,Both,Yes,Medium
Dollhouse,"A miniature house used as a toy, often designed for children to play with small furniture and figures.",Toy,Designed for children to play with small furniture and figures.,Indoor,Yes,Small
Door,A movable barrier used to close off an entrance or exit in a building or room.,Building Material,Used to close off an entrance or exit.,Both,No,Large
Double Wall Oven,"A kitchen appliance with two stacked ovens, allowing simultaneous cooking at different temperatures.",Kitchen Appliance,Used for cooking multiple dishes simultaneously.,Indoor,No,Large
Dresser,"A furniture piece with multiple drawers, used for storing clothes or personal items.",Furniture,Used for storing clothes or personal items.,Indoor,No,Large
Dresser With Mirror,A dresser featuring an attached or matching mirror for grooming or dressing.,Furniture,Used for grooming or dressing.,Indoor,No,Large
Drill Press,"A machine tool used to drill precise holes in materials, often mounted on a stand or workbench.",Tool,Used to drill precise holes in materials.,Indoor,No,Large
Drum Set,A collection of drums and cymbals arranged for a drummer to play as a single instrument.,Musical Instrument,Used for playing music.,Indoor,No,Large
Dry Sink,"A vintage-style cabinet with a recessed area for a washbasin, often used for decorative purposes.",Furniture,Used for decorative purposes.,Indoor,No,Medium
Drying Rack,"A rack used for air-drying clothes, often foldable for storage.",Furniture,Used for air-drying clothes.,Both,Yes,Medium
Drywall,"A construction material made of gypsum board, used to create walls and ceilings.",Construction Material,Used to create walls and ceilings.,Indoor,No,Large
Dumbbell,"A short bar with weights on both ends, used for strength training exercises.",Fitness Equipment,Used for strength training exercises.,Both,Yes,Medium
Electric Blanket,"A blanket with integrated heating wires, used to provide warmth.",Home Appliance,Used to provide warmth.,Indoor,Yes,Medium
Electric Dryer,A household appliance used to dry clothes by circulating heated air.,Home Appliance,Used to dry clothes.,Indoor,No,Large
Electric Fireplace,"A heater designed to mimic the appearance of a traditional fireplace, often with LED flames.",Electronics,Used to provide heating and mimic a traditional fireplace.,Indoor,Yes,Medium
Electric Hot Plate,A portable electric cooking surface used for heating or cooking food.,Kitchen Appliance,Used for heating or cooking food.,Indoor,Yes,Small
Electric Recliner,"A motorized chair that reclines for comfort, often operated with a remote.",Furniture,Used for comfortable seating and reclining.,Indoor,No,Large
Electric Scooter,"A motorized scooter powered by electricity, used for personal transportation.",Electronics,Used for personal transportation.,Outdoor,Yes,Medium
Electric Wheelchair,A motorized wheelchair designed to assist people with mobility challenges.,Medical Equipment,Assist people with mobility challenges.,Both,Yes,Medium
End Table,"A small table placed next to a sofa or chair, often used for holding lamps or personal items.",Furniture,Used for holding lamps or personal items.,Indoor,Yes,Small
Engine,A mechanical device that converts fuel or electricity into power for driving machines or vehicles.,Machinery,Converts fuel or electricity into power for driving machines or vehicles.,Both,No,Large
Entertainment Center,"A furniture piece designed to house TVs, media players, and other electronics.",Furniture,"Designed to house TVs, media players, and other electronics.",Indoor,No,Large
Exercise Machine,"A device designed for physical workouts, such as treadmills or elliptical machines.",Fitness Equipment,Designed for physical workouts.,Indoor,No,Large
Exercise Mat,"A padded mat used for floor exercises or yoga, providing cushioning and grip.",Fitness Equipment,Used for floor exercises or yoga.,Indoor,Yes,Medium
Fax Machine,An office device used for sending and receiving documents via telephone lines.,Office Equipment,Used for sending and receiving documents via telephone lines.,Indoor,No,Medium
Fence,"A barrier made of wood, metal, or other materials, used to enclose or divide spaces.",Outdoor Equipment,Used to enclose or divide spaces.,Outdoor,No,Large
Filing Cabinet,"A storage unit with drawers, used to organize and store documents.",Furniture,Used to organize and store documents.,Indoor,No,Medium
Fire Pit,"A structure designed for outdoor fires, often used for warmth or cooking.",Outdoor Equipment,Used for warmth or cooking.,Outdoor,No,Large
Floor Fan,A portable fan placed on the floor to circulate air and provide cooling.,Electronics,To circulate air and provide cooling.,Indoor,Yes,Medium
Floor Lamp,A tall lamp designed to stand on the floor and provide ambient lighting.,Furniture,Provides ambient lighting.,Indoor,No,Large
Flooring,"A surface covering for floors, such as wood, tile, or carpet.",Home Improvement,Used to cover floors.,Indoor,No,Large
Folding Bed,"A portable bed that can be folded for easy storage, often used for guests.",Furniture,Used for guests.,Indoor,Yes,Medium
Folding Chair,"A lightweight, collapsible chair, commonly used for events or extra seating.",Furniture,Used for events or extra seating.,Both,Yes,Medium
Folding Closet Door,"A door that folds in sections, used for closets or small spaces.",Furniture,Used for closets or small spaces.,Indoor,No,Medium
Folding Table,A portable table that can be folded for compact storage and transport.,Furniture,Used for providing a surface for various activities.,Both,Yes,Medium
Food Processor,"A kitchen appliance used to chop, slice, and mix food ingredients quickly.",Kitchen Appliance,"Used to chop, slice, and mix food ingredients quickly.",Indoor,Yes,Medium
Foosball Table,"A game table designed for playing foosball, where players control rods to move miniature figures.",Game Table,Used for playing foosball.,Indoor,No,Large
Foot Rest,A small piece of furniture designed to support feet while sitting.,Furniture,Supports feet while sitting.,Indoor,Yes,Small
Footstool,A low stool used to rest feet or as a small seat.,Furniture,Used to rest feet or as a small seat.,Indoor,Yes,Small
Fountain,"A decorative structure that circulates water, often used outdoors or as a centerpiece.",Decor,Used as a decorative water feature.,Both,No,Large
Framed Art,"Artwork, such as paintings or prints, enclosed in a decorative frame for display.",Home Decor,Used for display and decoration.,Indoor,No,Medium
Futon,A versatile piece of furniture that serves as both a sofa and a bed.,Furniture,Used as both a sofa and a bed.,Indoor,Yes,Medium
Gaming Chair,"A comfortable, ergonomic chair designed for extended gaming sessions.",Furniture,Designed for extended gaming sessions.,Indoor,No,Large
Gaming Console,"A device used for playing video games, such as PlayStation or Xbox.",Electronics,A device used for playing video games.,Indoor,No,Medium
Garage Door,"A large door used to secure the entrance to a garage, often operated manually or by a motor.",Home Improvement,Used to secure the entrance to a garage.,Outdoor,No,Large
Garden Hose,A flexible tube used to deliver water for gardening or outdoor cleaning.,Gardening Tool,Used to deliver water for gardening or outdoor cleaning.,Outdoor,Yes,Medium
Gas Dryer,"A household appliance powered by gas, used to dry clothes efficiently.",Home Appliance,Used to dry clothes efficiently.,Indoor,No,Large
Gas Fireplace,"A fireplace powered by natural gas or propane, providing warmth and ambiance.",Home Appliance,Provides warmth and ambiance.,Indoor,No,Medium
Gas Range,"A kitchen stove that uses gas to cook food, often with multiple burners and an oven.",Kitchen Appliance,Used to cook food.,Indoor,No,Large
Gas Stovetop,"A cooking surface powered by gas, used for boiling, frying, and sautéing.",Kitchen Appliance,"Used for boiling, frying, and sautéing.",Indoor,No,Medium
Glider Sofa,"A sofa with a gliding motion, designed for comfort and relaxation.",Furniture,Designed for comfort and relaxation.,Indoor,No,Large
Globe,"A spherical representation of Earth, often used for educational or decorative purposes.",Educational,Used for educational or decorative purposes.,Indoor,Yes,Medium
Golf Club,"A tool used in golf to hit the ball, available in various designs for different shots.",Sports Equipment,Used to hit the ball in golf.,Outdoor,Yes,Medium
Grandmother's/Grandfather's Clock,"A tall, freestanding clock with a pendulum, often a family heirloom.",Furniture,Used to keep time and as a decorative piece.,Indoor,No,Large
Guitar,"A stringed musical instrument, typically used for playing melodies and chords.",Musical Instrument,Used for playing melodies and chords.,Both,Yes,Medium
Gun Cabinet,A secure cabinet designed for storing firearms and ammunition.,Furniture,Designed for storing firearms and ammunition.,Indoor,No,Large
Hammock,"A hanging bed made of fabric or netting, suspended between two points for relaxation.",Furniture,Used for relaxation.,Outdoor,Yes,Medium
Hand Saw,"A manual tool with a serrated blade, used for cutting wood or other materials.",Tool,Used for cutting wood or other materials.,Both,Yes,Medium
Handicapped Ramp,A sloped surface designed for wheelchair access or mobility assistance.,Accessibility Equipment,Designed for wheelchair access or mobility assistance.,Both,Yes,Medium
Hanging Rack,"A structure used for hanging clothes, tools, or other items.",Furniture,"Used for hanging clothes, tools, or other items.",Both,Yes,Medium
High Chair,"A tall chair for babies or toddlers, with a tray for feeding.",Furniture,Used for feeding babies or toddlers.,Indoor,No,Medium
Hospital Bed,"A specialized bed with adjustable sections, used in medical settings or home care.",Furniture,Used in medical settings or home care.,Indoor,Yes,Large
Hoyer Lift,A mechanical device used to lift and transfer patients with limited mobility.,Medical Equipment,Used to lift and transfer patients with limited mobility.,Indoor,Yes,Large
Humidifier / Dehumidifier,A device used to add or remove moisture from the air to improve comfort and health.,Home Appliance,Used to control air moisture levels.,Indoor,Yes,Medium
Hutch,"A furniture piece with shelves or cabinets, often used in dining rooms or offices.",Furniture,Used for storage in dining rooms or offices.,Indoor,No,Large
Ice Maker,"A machine that produces ice cubes or crushed ice, often built into refrigerators.",Kitchen Appliance,Produces ice cubes or crushed ice.,Indoor,No,Medium
Ironing Board,"A flat, padded surface used for ironing clothes, often foldable for storage.",Household,Used for ironing clothes.,Indoor,Yes,Medium
Jacuzzi,A large tub with jets that create bubbles for relaxation and hydrotherapy.,Bathroom Appliance,Used for relaxation and hydrotherapy.,Indoor,No,Large
Kayak,"A narrow watercraft propelled with a double-bladed paddle, used for recreation or sport.",Watercraft,Used for recreation or sport.,Outdoor,Yes,Medium
Kid's Electric Ride on Car,A battery-powered miniature car designed for children to drive and enjoy.,Toys,Designed for children to drive and enjoy.,Outdoor,No,Medium
Kids Gymnastic Hanging Bar,"A bar designed for children to practice gymnastics, often adjustable in height.",Sports Equipment,A bar for children to practice gymnastics.,Indoor,Yes,Medium
Kitchen Cart,"A portable cart with storage and a work surface, used for additional kitchen space.",Furniture,Used for additional kitchen space.,Indoor,Yes,Medium
Kitchen Chair,"A chair designed for use at a kitchen table, often lightweight and durable.",Furniture,Used at a kitchen table.,Indoor,Yes,Medium
Kitchen Hood,"A ventilation device installed above a stovetop to remove smoke, heat, and odors.",Kitchen Appliance,"Used to remove smoke, heat, and odors from cooking.",Indoor,No,Medium
Kitchen Island,"A freestanding counter in the kitchen, often used for food preparation and storage.",Furniture,Used for food preparation and storage.,Indoor,No,Large
Kitchen Rack,"A storage rack used to organize kitchen items like pots, pans, or spices.",Furniture,Used to organize kitchen items.,Indoor,Yes,Medium
Kitchen Range,A kitchen appliance combining a stovetop and oven for cooking and baking.,Kitchen Appliance,Used for cooking and baking.,Indoor,No,Large
Kitchen Sink,"A basin installed in the kitchen, used for washing dishes and food.",Kitchen Fixture,Used for washing dishes and food.,Indoor,No,Medium
Kitchen Table,"A table used for dining or food preparation, typically located in the kitchen.",Furniture,Used for dining or food preparation.,Indoor,No,Medium
Ladder,"A portable structure with steps or rungs, used for climbing to reach higher areas.",Tool,Used for climbing to reach higher areas.,Both,Yes,Medium
Laminate Countertop,"A durable, cost-effective countertop made of laminated material, often used in kitchens or bathrooms.",Furniture,Primarily used in kitchens or bathrooms.,Indoor,No,Large
Lamp,"A lighting fixture, often portable, used for task or accent lighting.",Lighting,Used for task or accent lighting.,Indoor,Yes,Medium
Lamp Shades,Covers for lightbulbs that diffuse light and add decorative flair.,Home Decor,Used to diffuse light and add decorative flair.,Indoor,Yes,Medium
Laptop,"A portable computer with an integrated screen, keyboard, and trackpad.",Electronics,Used for computing tasks.,Indoor,Yes,Medium
Laundry Basket / Hamper,A container used for holding and transporting dirty laundry.,Home Organization,Used for holding and transporting dirty laundry.,Indoor,Yes,Medium
Push Lawn Mower,"A machine used to cut grass, often powered by gas, electricity, or manual effort.",Garden Equipment,Used to cut grass.,Outdoor,Yes,Medium
Leaf Blower,A device that uses air to blow leaves and debris off lawns or driveways.,Garden Tool,Used to blow leaves and debris off lawns or driveways.,Outdoor,Yes,Medium
Linen Cabinet,"A storage cabinet for towels, sheets, and other linens, often located in bathrooms or closets.",Furniture,"Used for storing towels, sheets, and other linens.",Indoor,No,Medium
Litter Box,"A container filled with litter for pets, such as cats, to use as a toilet.",Pet Supplies,A toilet for pets like cats.,Indoor,Yes,Medium
Living Room Chair,A comfortable chair designed for relaxation in the living room.,Furniture,Designed for relaxation in the living room.,Indoor,No,Medium
Loft Bed,A raised bed frame with space underneath for storage or other furniture.,Furniture,Used for sleeping with additional space for storage.,Indoor,No,Large
Loom,"A tool used for weaving fabric or textiles, often manually operated.",Craft Tool,Used for weaving fabric or textiles.,Indoor,No,Large
Lounge Chair,"A long, reclining chair designed for relaxation, often used outdoors or poolside.",Furniture,Designed for relaxation.,Outdoor,Yes,Large
Loveseat,A small sofa designed to seat two people comfortably.,Furniture,Designed to seat two people comfortably.,Indoor,No,Small
Magazine Rack,"A storage rack used for organizing magazines, newspapers, or books.",Furniture,"Used for organizing magazines, newspapers, or books.",Indoor,Yes,Medium
Makeup Table,"A table with a mirror and storage, used for applying makeup and grooming.",Furniture,Used for applying makeup and grooming.,Indoor,No,Medium
Martial Arts Training Dummy,A practice dummy used for martial arts training and striking techniques.,Fitness Equipment,Used for martial arts training and striking techniques.,Indoor,No,Medium
Massage Chair,"A chair equipped with mechanisms to provide massages, often with adjustable settings.",Furniture,Primarily used for providing massages.,Indoor,No,Large
Massage Table,"A portable or stationary table designed for massages, with cushioning for comfort.",Furniture,Designed for massages.,Indoor,Yes,Medium
Mattress,"A cushioned surface for sleeping, often placed on a bed frame.",Furniture,A surface for sleeping.,Indoor,No,Large
Mattress Topper,An additional layer of cushioning placed on top of a mattress for added comfort.,Furniture,Provides added comfort to a mattress.,Indoor,Yes,Medium
